xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1251/446/PR/160224/006626,PRM/KA/RERA/1251/446/PR/160224/006626,Karnatka,SSVR NIYAARA,SSVR BUILDERS,Residential/Group Housing,Apartment,31-12-2028,New Project Launch,19545,2,"SY. 6/3 , 6/8 , 6/9 , 6/13 , 7/2 & 7/3 Katha No.932/7/2.6/13,7/3,7/2,6/3,6/9,6/8/32 , SORAHUNASE VILLAGE VARTHUR HOBLI , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/120922/005238,PRM/KA/RERA/1251/446/PR/120922/005238,Karnatka,SBR MINARA,SBR INFRA BUILDTECH,Mixed Development,,31-08-2027,New Project Launch,15174,4,"Survey Numbers 121/2, 121/5,121/6,121/7 and 122/1 , Seegehalli Village, Bidarahalli Hobli , Bengaluru East , Bengaluru Urban, Karnataka - 560067",
PRM/KA/RERA/1251/310/PR/280224/006657,PRM/KA/RERA/1251/310/PR/280224/006657,Karnatka,EAST PARK RESIDENCES,RAMSONS TRENDSQUARES REALTY LLP,Residential/Group Housing,Apartment,31-03-2028,New Project Launch,26557,6,"Proposed Residential Apartment Building at 96/1(P) , Sarjapura Road, Kodathi, Varthur Hobli , Bengaluru South , Bengaluru Urban, Karnataka - 560035",
PRM/KA/RERA/1251/309/PR/210319/004033,PRM/KA/RERA/1251/309/PR/210319/004033,Karnatka,THE POEM BY SHRIRAM PROPERTIES,SPL PALMS DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,,31-03-2026,New Project Launch,25456,,"SY NO 60/3, OF SHETTI HALLI SY NO 20, 21, 22 AND 29, OF MYADARA HALLI YESHWANTHPUR HOBLI , BENGALURU NORTH PIN 560090 BBMP WARD NO 12",
PRM/KA/RERA/1251/446/PR/210222/004725,PRM/KA/RERA/1251/446/PR/210222/004725,Karnatka,HEAVIE EDEN,SENTIENT DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2025,New Project Launch,1097,1,"Sy no. 6/7,Kasavanahalli Village , Varthur Hobli , Bengaluru East , Bengaluru Urban, Karnataka - 560035",
PRM/KA/RERA/1251/310/PR/181122/005481,PRM/KA/RERA/1251/310/PR/181122/005481,Karnatka,RAJ BAY VISTA,SNN ARJUN BUILDERS LLP,Residential/Group Housing,Apartment,30-11-2028,New Project Launch,6753,2,"Site No. 1496, Sy No 20 & 21, , Kodichikkanahalli, Ward No-188 , Bengaluru South , Bengaluru Urban, Karnataka - 560076",
PRM/KA/RERA/1251/308/PR/280324/006766,PRM/KA/RERA/1251/308/PR/280324/006766,Karnatka,THE RIGHT LIFE,NEOBUILD VENTURES LLP,Residential/Group Housing,Apartment,31-12-2035,New Project Launch,62473,,"4/2, 4/5, 4/6, 4/7, 4/8, 4/9, 4/10, 5, 57/1, 57/2(P), 59/1, 59/2, & 60/4(P) of Chikkavaderapura Village and , 18/1. 18/2, 18/3, 18/4, 18/5, 19/2, 19/3, 19/4, 22/2, 22/3, 22/4, 23/1, 23/2, 24 of Heggondahalli Village, Sarjapura Hobli, Anekal Taluk, Bengaluru , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/308/PR/211122/005487,PRM/KA/RERA/1251/308/PR/211122/005487,Karnatka,MAHIDHARA HARMONY,MAHIDHARA PROJECTS PRIVATE LIMITED,Residential/Group Housing,Villa,10/9/2025,New Project Launch,39608,8,"Mahidhara Harmony, Sy. No.125/1, 125/2, 126/2, 126/3,126/4,131/6 Muthanallur Village , Sarjapura Hobli, Anekal Taluk, Bengaluru , Anekal , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/446/PR/180424/006808,PRM/KA/RERA/1251/446/PR/180424/006808,Karnatka,VASWANI STARLIGHT,VASWANI ESTATES DEVELOPERS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2029,New Project Launch,20308,3,,
PRM/KA/RERA/1251/446/PR/191022/005340,PRM/KA/RERA/1251/446/PR/191022/005340,Karnatka,MATHAPATHI GRAND FIELD,MATHAPATHI CONSTRUCTIONS PRIVATE LIMITED,Residential/Group Housing,Apartment,31-12-2025,New Project Launch,5967,1,"Survey No.76/3, BBMP Khatha Sl No. 596 Municipal No. 35 , Gunjur Village Varthur Hobli, Ward No.149 , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
