XID,Project Name,Unit Type,Area,Price,Area Type
427590,Gurukrupa Dhyanam,2 BHK 714 Sq. Ft. Apartment,714 Sq. Ft.,Rs 3.57 Cr,(Carpet)
427590,Gurukrupa Dhyanam,2 BHK 731 Sq. Ft. Apartment,731 Sq. Ft.,Rs 3.65 Cr,(Carpet)
427590,Gurukrupa Dhyanam,3 BHK 952 Sq. Ft. Apartment,952 Sq. Ft.,Rs 4.76 Cr,(Carpet)
434869,Nagpal 99 Silver Oaks,1 BHK 513 Sq. Ft. Apartment,513 Sq. Ft.,Rs 91.35 Lac,(Carpet)
434869,Nagpal 99 Silver Oaks,1 BHK 628 Sq. Ft. Apartment,628 Sq. Ft.,Rs 1.12 Cr,(Carpet)
434869,Nagpal 99 Silver Oaks,2 BHK 702 Sq. Ft. Apartment,702 Sq. Ft.,Rs 1.25 Cr,(Carpet)
434869,Nagpal 99 Silver Oaks,2 BHK 782 Sq. Ft. Apartment,782 Sq. Ft.,Rs 1.39 Cr,(Carpet)
435092,Sanghvi Aria,1 BHK 453 Sq. Ft. Apartment,453 Sq. Ft.,Rs 1.75 Cr,(Carpet)
435092,Sanghvi Aria,1 BHK 465 Sq. Ft. Apartment,465 Sq. Ft.,Rs 1.80 Cr,(Carpet)
435092,Sanghvi Aria,2 BHK 558 Sq. Ft. Apartment,558 Sq. Ft.,Rs 2.16 Cr,(Carpet)
435092,Sanghvi Aria,2 BHK 741 Sq. Ft. Apartment,741 Sq. Ft.,Rs 2.87 Cr,(Carpet)
428221,Kabra Embraze,2 BHK 683 Sq. Ft. Apartment,683 Sq. Ft.,Rs 2.79 Cr,(Carpet)
428221,Kabra Embraze,2 BHK 686 Sq. Ft. Apartment,686 Sq. Ft.,Rs 2.80 Cr,(Carpet)
428221,Kabra Embraze,3 BHK 1000 Sq. Ft. Apartment,1000 Sq. Ft.,Rs 4.08 Cr,(Carpet)
428221,Kabra Embraze,3 BHK 1005 Sq. Ft. Apartment,1005 Sq. Ft.,Rs 4.10 Cr,(Carpet)
428349,Ashar Merac,1 BHK 390 Sq. Ft. Apartment,390 Sq. Ft.,Rs 86.96 Lac,(Carpet)
428349,Ashar Merac,1 BHK 420 Sq. Ft. Apartment,420 Sq. Ft.,Rs 93.65 Lac,(Carpet)
428349,Ashar Merac,2 BHK 596 Sq. Ft. Apartment,596 Sq. Ft.,Rs 1.48 Cr,(Carpet)
428349,Ashar Merac,2 BHK 664 Sq. Ft. Apartment,664 Sq. Ft.,Rs 1.65 Cr,(Carpet)
428349,Ashar Merac,3 BHK 830 Sq. Ft. Apartment,830 Sq. Ft.,Rs 1.99 Cr,(Carpet)
428351,Shree Ram Krishna Garden,1 BHK 400 Sq. Ft. Apartment,400 Sq. Ft.,Rs 66.00 Lac,(Carpet)
428351,Shree Ram Krishna Garden,2 BHK 570 Sq. Ft. Apartment,570 Sq. Ft.,Rs 94.00 Lac,(Carpet)
428351,Shree Ram Krishna Garden,2 BHK 600 Sq. Ft. Apartment,600 Sq. Ft.,Rs 1.00 Cr,(Carpet)
428361,Sahakar Vogue 77,2 BHK 730 Sq. Ft. Apartment,730 Sq. Ft.,Rs 2.50 Cr,(Carpet)
428361,Sahakar Vogue 77,3 BHK 1243 Sq. Ft. Apartment,1243 Sq. Ft.,Rs 4.26 Cr,(Carpet)
428361,Sahakar Vogue 77,4 BHK 1650 Sq. Ft. Apartment,1650 Sq. Ft.,Rs 5.65 Cr,(Carpet)
428361,Sahakar Vogue 77,4 BHK 1891 Sq. Ft. Apartment,1891 Sq. Ft.,Rs 6.47 Cr,(Carpet)
437068,Dream Meadows,1 BHK 322 Sq. Ft. Apartment,322 Sq. Ft.,Rs 38.76 Lac,(Carpet)
437068,Dream Meadows,1 BHK 457 Sq. Ft. Apartment,457 Sq. Ft.,Rs 55.01 Lac,(Carpet)
437068,Dream Meadows,2 BHK 634 Sq. Ft. Apartment,634 Sq. Ft.,Rs 80.25 Lac,(Carpet)
437068,Dream Meadows,2 BHK 707 Sq. Ft. Apartment,707 Sq. Ft.,Rs 88.96 Lac,(Carpet)
428407,DB Soham Heights,1 BHK 403 Sq. Ft. Apartment,403 Sq. Ft.,Rs 90.00 Lac,(Carpet)
428407,DB Soham Heights,1 BHK 440 Sq. Ft. Apartment,440 Sq. Ft.,Rs 98.26 Lac,(Carpet)
428407,DB Soham Heights,2 BHK 585 Sq. Ft. Apartment,585 Sq. Ft.,Rs 1.31 Cr,(Carpet)
428407,DB Soham Heights,2 BHK 645 Sq. Ft. Apartment,645 Sq. Ft.,Rs 1.44 Cr,(Carpet)
428416,Shraddha Park City,1 BHK 428 Sq. Ft. Apartment,428 Sq. Ft.,Rs 1.10 Cr,(Carpet)
428416,Shraddha Park City,2 BHK 460 Sq. Ft. Apartment,460 Sq. Ft.,Rs 1.18 Cr,(Carpet)
428416,Shraddha Park City,2 BHK 580 Sq. Ft. Apartment,580 Sq. Ft.,Rs 1.49 Cr,(Carpet)
